League,Date,Team,Opponent,Location,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Conference
MBB,2024-02-11,Chicago,Emory,Away,82,200,29-64,45.3125,11-24,45.833333333333336,13-18,72.22222222222223,11,26,37,17,4,2,8,17,2,16,30,0,23,True
MBB,2024-02-11,Emory,Chicago,Home,88,200,33-66,50.0,7-21,33.333333333333336,15-21,71.42857142857143,10,28,38,16,5,3,7,17,6,9,46,20,21,True
MBB,2024-02-11,NYU,Carnegie Mellon,Home,80,200,32-67,47.76119402985075,8-22,36.36363636363637,8-11,72.72727272727273,10,25,35,13,10,1,11,14,14,10,42,11,17,True
MBB,2024-02-11,Rochester,WashU,Home,61,200,24-80,30.0,4-29,13.79310344827586,9-15,60.0,15,27,42,7,9,3,6,12,16,8,36,14,43,True
MBB,2024-02-11,Rochester,Washington-St. Louis,Home,61,200,24-80,30.0,4-29,13.79310344827586,9-15,60.0,15,27,42,7,9,3,6,12,16,8,36,14,43,False
MBB,2024-02-11,WashU,Rochester,Away,75,200,28-72,38.888888888888886,7-23,30.43478260869565,12-15,80.0,19,44,63,13,4,4,18,15,4,21,38,7,11,True
MBB,2024-02-11,Washington-St. Louis,Rochester,Away,75,200,28-72,38.888888888888886,7-23,30.43478260869565,12-15,80.0,19,44,63,13,4,4,18,15,4,21,38,7,11,False
MBB,2024-02-16,Brandeis,Chicago,Away,76,200,26-56,46.42857142857143,10-25,40.0,14-18,77.77777777777777,9,20,29,13,6,2,5,16,16,9,22,15,8,True
MBB,2024-02-16,Carnegie Mellon,Rochester,Home,87,225,31-81,38.27160493827161,9-28,32.142857142857146,16-19,84.21052631578948,11,41,52,13,8,8,5,13,23,16,40,2,14,True
MBB,2024-02-16,Case Western,Emory,Home,86,200,30-64,46.875,11-27,40.74074074074074,15-19,78.94736842105263,10,25,35,17,2,6,11,18,15,3,32,5,20,True
MBB,2024-02-16,Chicago,Brandeis,Home,71,200,24-50,48.0,10-24,41.66666666666666,13-19,68.42105263157895,10,21,31,11,3,0,13,13,5,8,18,9,11,True
MBB,2024-02-16,Emory,Case Western,Away,85,200,30-65,46.15384615384615,6-22,27.27272727272728,19-24,79.16666666666667,13,25,38,7,5,9,9,17,24,14,38,14,18,True
MBB,2024-02-16,NYU,WashU,Away,61,200,24-63,38.095238095238095,7-27,25.925925925925927,6-6,100.0,2,25,27,2,5,2,4,17,7,4,34,6,4,True
MBB,2024-02-16,Rochester,Carnegie Mellon,Away,70,225,27-74,36.48648648648648,8-22,36.36363636363637,8-13,61.53846153846154,8,40,48,9,4,7,14,16,7,9,34,4,10,True
MBB,2024-02-16,WashU,NYU,Home,72,200,26-61,42.62295081967213,9-25,36.0,11-13,84.61538461538461,8,35,43,10,3,3,10,7,5,7,32,11,15,True
MBB,2024-02-18,Brandeis,WashU,Away,53,200,20-53,37.735849056603776,4-18,22.22222222222222,9-16,56.25,6,25,31,4,5,2,8,12,12,12,30,10,24,True
MBB,2024-02-18,Carnegie Mellon,Emory,Home,71,200,26-65,40.0,6-20,30.0,13-18,72.22222222222223,9,30,39,12,9,7,13,15,13,11,36,0,20,True
MBB,2024-02-18,Case Western,Rochester,Home,99,200,37-68,54.41176470588236,9-25,36.0,16-23,69.56521739130434,5,36,41,20,5,5,3,18,11,7,48,17,44,True
MBB,2024-02-18,Chicago,NYU,Home,61,200,21-61,34.42622950819672,6-28,21.428571428571427,13-15,86.66666666666667,12,23,35,7,5,5,8,13,8,19,18,8,9,True
MBB,2024-02-18,Emory,Carnegie Mellon,Away,68,200,21-69,30.43478260869565,9-27,33.333333333333336,17-21,80.95238095238095,19,34,53,9,7,4,16,16,7,21,24,0,22,True
MBB,2024-02-18,NYU,Chicago,Away,73,200,29-59,49.15254237288136,8-21,38.095238095238095,7-11,63.63636363636363,10,30,40,14,6,3,10,16,15,13,40,2,21,True
MBB,2024-02-18,Rochester,Case Western,Away,70,200,26-63,41.26984126984127,4-19,21.05263157894737,14-22,63.63636363636363,5,31,36,8,1,3,6,16,4,2,42,15,15,True
MBB,2024-02-18,WashU,Brandeis,Home,56,200,21-60,35.0,8-27,29.62962962962963,6-12,50.0,14,31,45,13,3,0,13,11,7,14,24,4,12,True
MBB,2024-02-2023,Emory,Rochester,Home,79,200,31-71,43.66197183098591,9-25,36.0,8-11,72.72727272727273,18,30,48,12,4,13,12,11,9,23,42,6,37,True
MBB,2024-02-2023,Rochester,Emory,Away,76,200,27-73,36.98630136986301,13-33,39.39393939393939,9-10,90.0,16,24,40,16,8,5,7,14,16,15,28,10,18,True
MBB,2024-02-23,Emory,Rochester,Home,79,200,31-71,43.66197183098591,9-25,36.0,8-11,72.72727272727273,18,30,48,12,4,13,12,11,9,23,42,6,37,True
MBB,2024-02-23,Rochester,Emory,Away,76,200,27-73,36.98630136986301,13-33,39.39393939393939,9-10,90.0,16,24,40,16,8,5,7,14,16,15,28,10,18,True
MBB,2024-02-24,Brandeis,NYU,Home,68,200,23-63,36.507936507936506,9-24,37.5,13-16,81.25,7,24,31,15,6,3,7,14,12,10,20,0,27,True
MBB,2024-02-24,Carnegie Mellon,Case Western,Away,75,200,30-67,44.776119402985074,8-24,33.333333333333336,7-11,63.63636363636363,9,27,36,13,11,4,10,15,15,15,40,13,13,True
MBB,2024-02-24,Case Western,Carnegie Mellon,Home,76,200,23-57,40.35087719298246,13-36,36.11111111111112,17-24,70.83333333333333,8,30,38,9,7,4,13,9,11,8,16,5,40,True
MBB,2024-02-24,Chicago,WashU,Away,58,200,25-53,47.16981132075472,5-21,23.80952380952381,3-3,100.0,8,21,29,8,6,1,14,10,7,9,30,3,4,True
MBB,2024-02-24,NYU,Brandeis,Away,74,200,26-54,48.14814814814815,13-31,41.935483870967744,9-15,60.0,9,33,42,20,5,4,13,13,3,16,20,0,19,True
MBB,2024-02-24,WashU,Chicago,Home,61,200,24-59,40.67796610169491,8-25,32.0,5-8,62.5,10,19,29,13,7,3,9,8,12,16,26,4,19,True
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,92,200,35-55,63.63636363636363,10-18,55.55555555555556,12-16,75.0,6,28,34,20,6,4,20,22,18,12,50,8,27,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,69,200,24-63,38.095238095238095,4-23,17.391304347826086,17-22,77.27272727272727,11,12,23,7,11,0,12,15,19,13,28,12,18,False
MBB,2023-11-08,Manhattanville,NYU,Away,60,200,22-65,33.84615384615385,7-23,30.43478260869565,9-12,75.0,4,26,30,10,3,1,9,12,11,4,24,14,9,False
MBB,2023-11-08,NYU,Manhattanville,Home,77,200,30-68,44.11764705882353,7-25,28.0,10-13,76.92307692307692,14,39,53,17,8,4,15,14,8,15,46,10,16,False
MBB,2023-11-10,Carnegie Mellon,Whitworth,Away,89,200,31-61,50.81967213114754,11-25,44.0,16-23,69.56521739130434,7,39,46,16,2,5,14,15,7,2,30,4,16,False
MBB,2023-11-10,Case Western,Pitt.-Bradford,Home,104,200,35-72,48.61111111111112,16-36,44.44444444444444,18-21,85.71428571428571,19,33,52,22,5,8,17,13,13,18,32,11,55,False
MBB,2023-11-10,Pitt.-Bradford,Case Western,Away,73,200,24-63,38.095238095238095,9-24,37.5,16-20,80.0,6,20,26,4,12,5,11,12,16,3,24,8,26,False
MBB,2023-11-10,Rochester,Wooster,Home,60,200,21-58,36.206896551724135,4-19,21.05263157894737,14-17,82.3529411764706,9,20,29,7,7,3,13,22,23,8,32,4,16,False
MBB,2023-11-10,Whitworth,Carnegie Mellon,Home,82,200,31-73,42.465753424657535,10-28,35.714285714285715,10-15,66.66666666666667,6,27,33,15,8,1,7,21,19,5,38,9,20,False
MBB,2023-11-10,Wooster,Rochester,Away,78,200,27-54,50.0,8-16,50.0,16-25,64.0,13,31,44,8,10,1,18,21,10,11,38,3,13,False
MBB,2023-11-11,Brandeis,Mass.-Dartmouth,Home,86,200,29-58,50.0,7-19,36.8421052631579,21-29,72.41379310344827,7,25,32,20,10,1,15,21,50,5,36,0,32,False
MBB,2023-11-11,Caltech,Chicago,Away,48,200,18-58,31.03448275862069,6-20,30.0,6-8,75.0,7,25,32,6,2,1,13,14,2,7,10,2,18,False
MBB,2023-11-11,Case Western,Eastern,Home,82,200,27-58,46.55172413793103,7-25,28.0,21-25,84.0,15,32,47,13,3,8,18,13,7,19,38,3,46,False
